"site_id","planned_kiosk_type","installation_status_","ppt_id","legacy_id","borough","council_district","cb","final_submission_a_","gf_permit_appl_id","gf_doitt_submitted_to_cb_a","gf_cb_comment_period_ends_a","street_address","cross_street_1","cross_street_2","ixn_code","postcode","zoningnumb","longitude","latitude","greenfield_in_bid_location","bid","historic_district","historic_district_name","neighborhood_tabulation_area_nta","bin","bbl","census_tract","location_1"
"MN-03-134173","LINK5G_Ad","Live","134173","1255","Manhattan","1","103","2022-04-01T00:00:00.000",,,,"165 EAST BROADWAY","RUTGERS STREET","CANAL STREET","S","10002","C1-5","-73.9899828","40.7139997","No",,"0",,"Lower East Side","1003627","1002840028","1000600","(40.7139997, -73.9899828)"
"BK-07-GF34911","LINK5G_NonAd","PreCx",,,"Brooklyn","38","307","2022-08-09T00:00:00.000","90324","2023-01-04T00:00:00.000",,"117 42ND STREET","1ST AVENUE","2ND AVENUE","N","11232","M3-1","-74.014243","40.6548288","No",,"0",,"Sunset Park West","3337139","3007160001","bk-2","(40.6548288, -74.014243)"
"QU-12-123850","LINK5G_Ad","Live","123850","LINK-011879","Queens","27","412","2021-10-08T00:00:00.000",,,,"113-50 FARMERS BOULEVARD","MURDOCK AVENUE","113TH ROAD","W","11412","C2-3","-73.7624764","40.698178","No",,"0",,"St. Albans","4235653","4109880001","4052600","(40.698178, -73.7624764)"
"QU-01-GF44793","LINK5G_NonAd","PreCx",,,"Queens","26","401","2022-08-09T00:00:00.000","90340","2023-01-04T00:00:00.000",,"22-09 41 AVENUE","41st Ave","Queens Plaza N","West","11101","M1-5","-73.9407694","40.7529803","No",,"0",,"Queensbridge-Ravenswood-Long Island City","4004979","3004120025","qu-33","(40.7529803, -73.9407694)"
"BX-02-145603","LINK1.0","PreCx","145603","LINK-013267","Bronx","17","202","2021-11-30T00:00:00.000",,,,"533 HUNTS POINT AVENUE","RANDLE AVENUE","OAK POINT AVENUE","W","10474","M1-2","-73.8830561","40.8117048","No",,"0",,"Hunts Point","2006860","2027690161","2011700","(40.8117048, -73.8830561)"
"MN-08-GF0911","LINK5G_NonAd","Planning",,,"Manhattan","4","108","2022-08-09T00:00:00.000","90250","2022-11-18T00:00:00.000",,"1175 PARK AVENUE","EAST 93RD STREET","EAST 92ND STREET","E","10128","R10","-73.9538511","40.7844426","No",,"0","Expanded Carnegie Hill Historic District","Upper East Side-Carnegie Hill","1048372","1951340069","mn-158.01","(40.7844426, -73.9538511)"
"QU-02-125245","LINK5G_NonAd","PreCx","125245","LINK-011359","Queens","26","402","2022-08-09T00:00:00.000","80768","2023-01-04T00:00:00.000",,"48-09 CENTER BOULEVARD","49 AVENUE","48 AVENUE","E","11101","M3-1","-73.958244","40.7443978","No",,"0",,"Hunters Point-Sunnyside-West Maspeth","4000019","4000170028","4000100","(40.7443978, -73.958244)"
"MN-12-120813","LINK1.0","Installed","120813","LINK-010939","Manhattan","10","112","2022-01-28T00:00:00.000",,,,"3769 10 AVENUE","WEST 202ND STREET","10TH AVENUE","S","10034","R7-2","-73.9210039","40.8611522","No",,"0",,"Marble Hill-Inwood","1080033","1022160001","1029900","(40.8611522, -73.9210039)"
"BX-07-158797","LINK5G_Ad","Ready for Installation",,,"Bronx","15","207","2021-12-21T00:00:00.000","90155","2022-02-11T00:00:00.000",,"2571 WEBSTER AVENUE","E 193RD STREET","E FORDHAM ROAD","NW","10458","C2-4","-73.8903695","40.8625706","No",,"0",,"Belmont",,"2032750108","BX-397","(40.8625706, -73.8903695)"
"QU-07-118847","LINK5G_Ad","PreCx","118847","LINK-027983","Queens","19","407","2022-08-09T00:00:00.000","74213","2022-11-16T00:00:00.000",,"124-15 31 AVENUE","COLLEGE POINT BOULEVARD","123 STREET","North","11354",,"-73.8423018","40.7694409","No",,"0",,,"4605722","4043500050","4092900","(40.7694409, -73.8423018)"
"QU-12-159192","LINK5G_Ad","Installed",,,"Queens","27","412","2021-10-08T00:00:00.000","90062","2021-10-28T00:00:00.000","2021-12-27T00:00:00.000","168-11 DOUGLAS AVENUE","DOUGLAS AVENUE","93rd AVENUE","E","11433","M1-1","-73.7908334","40.7037645","No",,"0",,"Jamaica","4533758","4102170048","QU-444","(40.7037645, -73.7908334)"
"BX-02-100042","LINK5G_Ad","Live","100042","LINK-010396","Bronx","17","202","2021-11-30T00:00:00.000",,,,"1102 LONGFELLOW AVENUE","LONGFELLOW AVENUE","WHITLOCK AVENUE","S","10459","M1-1","-73.8877631","40.8266802","No",,"0",,"Hunts Point","2006291","2027570085","2012102","(40.8266802, -73.8877631)"
