"dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"B02884","2017-10-15T02:29:08.000","2017-10-15 02:37:35","144","231",
"B02884","2017-10-15T02:21:53.000","2017-10-15 02:54:31","37","265",
"B02884","2017-10-15T02:48:24.000","2017-10-15 03:02:20","249","265",
"B02884","2017-10-15T02:38:34.000","2017-10-15 02:51:13","144","49",
"B02914","2017-10-15T02:57:46.000","2017-10-15 03:17:05",,,
"B02884","2017-10-15T02:08:39.000","2017-10-15 02:16:59","243","244",
"B02884","2017-10-15T02:07:53.000","2017-10-15 02:19:13","233","68",
"B02884","2017-10-15T02:26:19.000","2017-10-15 03:01:42","246","118",
"B02884","2017-10-15T02:11:04.000","2017-10-15 02:23:32","148","79",
"B02884","2017-10-15T02:38:46.000","2017-10-15 02:57:41","79","142",
"B02914","2017-10-15T02:07:57.000","2017-10-15 02:31:21",,,
"B02914","2017-10-15T02:35:55.000","2017-10-15 02:51:56",,,
"B02914","2017-10-15T02:54:44.000","2017-10-15 03:29:35",,,
"B02914","2017-10-15T02:44:05.000","2017-10-15 02:50:07",,,
"B02914","2017-10-15T02:43:46.000","2017-10-15 02:50:50",,,
"B02914","2017-10-15T02:29:30.000","2017-10-15 02:53:48",,,
"B02914","2017-10-15T02:11:11.000","2017-10-15 02:29:51",,,
"B02914","2017-10-15T02:38:56.000","2017-10-15 02:50:05",,,
"B02914","2017-10-15T02:17:44.000","2017-10-15 02:30:33",,,
"B02914","2017-10-15T02:38:57.000","2017-10-15 02:45:35",,,
"B02914","2017-10-15T02:45:03.000","2017-10-15 03:03:25",,,
"B02888","2017-10-15T02:43:50.000","2017-10-15 03:04:45","16","177",
"B02888","2017-10-15T02:07:24.000","2017-10-15 02:32:12","256","236",
"B02888","2017-10-15T02:12:27.000","2017-10-15 02:42:06","181","36","1"
"B02888","2017-10-15T02:39:32.000","2017-10-15 02:46:30","36","198","1"
"B02888","2017-10-15T02:52:13.000","2017-10-15 02:55:30","36","36",
"B02888","2017-10-15T02:57:51.000","2017-10-15 03:16:16","36","188",
"B02888","2017-10-15T02:42:41.000","2017-10-15 03:20:03","144","225",
"B02888","2017-10-15T02:03:10.000","2017-10-15 02:11:28","80","255",
"B02888","2017-10-15T02:22:51.000","2017-10-15 02:34:14","255","97",
"B02888","2017-10-15T02:15:53.000","2017-10-15 02:31:08","125","148",
"B02888","2017-10-15T02:48:36.000","2017-10-15 02:53:47","125","249",
"B02884","2017-10-15T02:00:49.000","2017-10-15 02:14:11","238","244","1"
"B02884","2017-10-15T02:01:18.000","2017-10-15 02:10:41","238","244","1"
"B02884","2017-10-15T02:47:30.000","2017-10-15 03:14:21","243","18","1"
"B02884","2017-10-15T02:50:18.000","2017-10-15 02:56:03","243","235","1"
"B02884","2017-10-15T02:00:50.000","2017-10-15 02:08:45","82","82",
"B02884","2017-10-15T02:18:39.000","2017-10-15 02:33:48","95","56","1"
"B02884","2017-10-15T02:29:39.000","2017-10-15 02:51:40","56","129","1"
"B02884","2017-10-15T02:39:57.000","2017-10-15 03:01:00","173","179","1"
"B02884","2017-10-15T02:56:22.000","2017-10-15 03:12:17","255","79",
"B02884","2017-10-15T02:07:59.000","2017-10-15 02:14:39","112","112",
"B02884","2017-10-15T02:48:20.000","2017-10-15 03:13:22","255","80",
"B02914","2017-10-15T02:53:10.000","2017-10-15 03:12:05",,,
"B02914","2017-10-15T02:55:22.000","2017-10-15 03:04:30",,,
"B02914","2017-10-15T02:18:28.000","2017-10-15 02:26:31",,,
"B02914","2017-10-15T02:48:43.000","2017-10-15 03:04:59",,,
"B02914","2017-10-15T02:40:03.000","2017-10-15 02:49:52",,,
"B02914","2017-10-15T02:33:20.000","2017-10-15 02:53:28",,,
"B02914","2017-10-15T02:56:01.000","2017-10-15 03:17:34",,,
"B02914","2017-10-15T02:19:09.000","2017-10-15 02:27:08",,,
"B02914","2017-10-15T02:39:59.000","2017-10-15 02:57:10",,,
"B02914","2017-10-15T02:19:40.000","2017-10-15 02:41:16",,,
"B02888","2017-10-15T02:25:32.000","2017-10-15 02:39:26","144","233","1"
"B02888","2017-10-15T02:28:04.000","2017-10-15 02:58:05","45","143","1"
"B02888","2017-10-15T02:45:31.000","2017-10-15 02:50:11","162","163","1"
"B02888","2017-10-15T02:37:01.000","2017-10-15 03:05:33","137","19",
"B02888","2017-10-15T02:08:23.000","2017-10-15 02:15:37","256","80",
"B02888","2017-10-15T02:22:17.000","2017-10-15 02:31:46","80","255",
"B02888","2017-10-15T02:36:24.000","2017-10-15 02:52:19","255","83",
"B02888","2017-10-15T02:24:47.000","2017-10-15 02:56:57","112","22",
"B02888","2017-10-15T02:25:21.000","2017-10-15 02:31:00","7","223",
"B02888","2017-10-15T02:09:22.000","2017-10-15 02:32:58","152","135",
"B02888","2017-10-15T02:47:10.000","2017-10-15 02:59:29","255","37",
"B02884","2017-10-15T02:49:26.000","2017-10-15 03:11:52","256","188",
"B02884","2017-10-15T02:50:47.000","2017-10-15 02:57:41","148","209",
"B02884","2017-10-15T02:07:26.000","2017-10-15 02:11:31","14","67",
"B02884","2017-10-15T02:21:54.000","2017-10-15 02:41:55","14","233",
"B02884","2017-10-15T02:02:21.000","2017-10-15 02:16:24","80","49",
"B02884","2017-10-15T02:25:52.000","2017-10-15 02:35:58","62","85",
"B02884","2017-10-15T02:00:27.000","2017-10-15 02:23:43","236","244","1"
"B02884","2017-10-15T02:47:37.000","2017-10-15 02:56:00","41","42",
"B02884","2017-10-15T02:10:28.000","2017-10-15 02:46:31","249","20",
"B02884","2017-10-15T02:48:33.000","2017-10-15 03:04:23","258","95",
"B02884","2017-10-15T02:53:27.000","2017-10-15 03:20:11","164","223",
"B02914","2017-10-15T02:52:37.000","2017-10-15 03:07:55",,,
"B02914","2017-10-15T02:39:55.000","2017-10-15 02:45:43",,,
"B02914","2017-10-15T02:20:37.000","2017-10-15 02:37:33",,,
"B02914","2017-10-15T02:56:02.000","2017-10-15 03:12:13",,,
"B02914","2017-10-15T02:42:21.000","2017-10-15 02:48:15",,,
"B02914","2017-10-15T02:51:42.000","2017-10-15 03:09:48",,,
"B02914","2017-10-15T02:14:09.000","2017-10-15 02:26:11",,,
"B02914","2017-10-15T02:35:04.000","2017-10-15 02:43:04",,,
"B02914","2017-10-15T02:53:20.000","2017-10-15 03:18:25",,,
"B02914","2017-10-15T02:06:06.000","2017-10-15 02:11:44",,,
